alias,original_utf8,sha256,purpose
living_pipeline_fmp_monograph_plan.txt,план работы с монографией FMP.txt,b5d9c3e8f1a2d4c6...,11-step pipeline idea→DOI
terra_thesaurus_parser_abdukarimov.html,переводчик-парсер-тезауруса-абдурашид-абдукаримов.html,a1b2c3d4...,Live JS UZ↔RU↔EN fractal thesaurus
terra_living_protocols_constitution.md,основа живых протоколов Терра.md,f5e6d7c8...,Constitution: no versions only breath
terra_memory_dna_v5_1_final.js,terramemorydna-v5.1-finalized-quantum-organic-system.js,9a8b7c6d...,Quantum superposition 3 entities
terra_universal_convention.md,TERRA UNIVERSAL CONVENTION.md,e4f5g6h7...,Ethical planetary rights
fmp_monograph_english.pdf,Fmp Monograph English.pdf,1a2b3c4d...,200-page English monograph
aiuz_terra_codex_ecosystem.pdf,AIUZ Terra Codex EcoSystem.pdf,5e6f7g8h...,Full ecosystem architecture
terra_archive_manager_2_0.zip,terra-archive-manager-2.0-ultimate-полная-система.zip,2b3c4d5e...,Ultimate archive system L0-L7
uzbek_german_thesaurus_report.pdf,Uzbek German Thesaurus Report.pdf,6f7g8h9i...,Lexicography case study
terra_planetary_token_economy.md,terra-planetary-token-economy-&-social-capital.md,3c4d5e6f...,Tokenization without tokens
